dataset,class,dice_mean,dice_std,iou_mean,iou_std,precision_mean,recall_mean
vaihingen,building,0.7771,0.1092,0.6479,0.1396,0.9644,0.6665
vaihingen,car,0.6621,0.0875,0.5006,0.0876,0.6006,0.7565
vaihingen,grass,0.3994,0.1011,0.2545,0.079,0.7395,0.3094
vaihingen,road,0.5924,0.0505,0.4227,0.0511,0.9572,0.4334
vaihingen,tree,0.6466,0.1365,0.493,0.1511,0.9271,0.5227
potsdam,building,0.7516,0.1104,0.6145,0.1416,0.9502,0.6404
potsdam,car,0.7436,0.0248,0.5924,0.0311,0.7036,0.7933
potsdam,grass,0.4891,0.0986,0.3292,0.0838,0.7554,0.3786
potsdam,road,0.5807,0.0675,0.4123,0.0668,0.8707,0.444
potsdam,tree,0.3728,0.1157,0.2351,0.0853,0.8979,0.2416
